cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N15482143,43.26744756893236,312,-51.0,632.0,0.0551952347159385,10.0
N15482140,46.77150173576511,312,-51.0,640.0,0.0881693065166473,5.0
N15482144,44.10756605498645,312,-51.0,630.0,0.1120289862155914,11.0
N15482156,52.966600145612446,231,-51.0,656.0,1.2377049922943115,1.0
N15482148,53.4349367569904,312,-52.0,666.0,0.9106842875480652,1.0
N15482172,52.79742478351204,231,-51.0,655.0,0.2648750841617584,5.0
N15482145,49.43079275014449,312,-51.0,644.0,0.1507457643747329,0.0
N15482142,46.20988861395388,231,-51.0,643.0,0.1735903322696685,14.0
N15482153,48.824706797697104,312,-51.0,650.0,0.350017637014389,1.0
N15482150,56.21399626439931,313,-52.0,655.0,0.1605675965547561,1.0
N15481588,39.544170223936746,312,-50.0,620.0,0.0732003077864646,20.0
N15481585,40.26190419099769,312,-50.0,620.0,0.1446780115365982,0.0
N15482366,40.45420144528759,324,-50.0,612.0,0.1128487437963485,20.0
N15482363,39.65063243009606,131,-50.0,605.0,0.2681290209293365,20.0
N15481821,42.054298712282765,312,-50.0,659.0,0.0740802213549614,11.0
N15481820,42.591992280921154,312,-50.0,654.0,0.0920700877904892,8.0
N15481822,40.41527136977838,311,-50.0,648.0,0.0499284639954566,17.0
N15481824,39.80006455401985,312,-50.0,655.0,0.049337700009346,11.0
N15481584,40.070607633006816,312,-50.0,636.0,0.0715540945529937,20.0
N15481582,39.74896606133909,312,-50.0,613.0,0.1998869031667709,0.0
N15481581,39.068580627441406,312,-50.0,629.0,0.094506449997425,20.0
N15481587,38.64249513587173,312,-50.0,647.0,0.1124592125415802,20.0
N15481586,40.09437140639948,312,-50.0,647.0,0.263577252626419,20.0
N15482367,44.65305429575395,312,-50.0,619.0,0.1201040148735046,17.0
N15482364,44.33230598605409,312,-50.0,611.0,0.4396149218082428,0.0
N15482368,46.450330773178415,312,-50.0,628.0,0.0655837953090667,17.0
N15482365,48.15324152732382,312,-50.0,633.0,0.0812454968690872,17.0
N15482600,40.51248643836197,312,-50.0,625.0,0.0855277329683303,17.0
N15482361,41.18909493271185,131,-50.0,608.0,4.080898284912109,0.0
N15482360,39.85721572564573,131,-50.0,605.0,1.9671489000320437,20.0
N15481814,41.08203156140386,312,-50.0,646.0,0.0796118378639221,16.0
N15481816,38.61943785998286,311,-50.0,641.0,0.0569511614739894,14.0
N15481813,38.65962281519053,312,-50.0,645.0,0.0945968925952911,17.0
N15481818,40.53695367307079,312,-50.0,649.0,0.0978192687034607,17.0
